year,team,wins,losses,wpct,ortg,eFG%,pb,playoffs,champions
2011,DAL,57,25,0.695,109.700,0.525,0.962,1.000,1.000
2012,MIA,46,20,0.697,106.600,0.505,0.901,1.000,1.000
2013,MIA,66,16,0.805,112.300,0.552,0.912,1.000,1.000
2014,SAS,62,20,0.756,110.500,0.537,0.966,1.000,1.000
2015,GSW,67,15,0.817,111.600,0.540,0.947,1.000,1.000
2016,CLE,57,25,0.695,110.900,0.524,0.946,1.000,1.000
2017,GSW,67,15,0.817,115.600,0.563,0.919,1.000,1.000
2018,GSW,58,24,0.707,113.600,0.569,0.939,1.000,1.000
2019,TOR,58,24,0.707,113.100,0.543,0.963,1.000,1.000
2020,LAL,52,19,0.732,112.000,0.542,0.931,1.000,1.000
